NAME ,HOURS OF OPERATION,CYBERNAVIGATOR,TEACHER IN THE LIBRARY,ADDRESS,CITY,STATE,ZIP,PHONE,WEBSITE,LOCATION
Albany Park,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,3401 W. Foster Avenue,CHICAGO,IL,60625,(773) 539-5450,https://www.chipublib.org/locations/3/,"(41.975456, -87.71409)"
Altgeld,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,13281 S. Corliss Avenue,CHICAGO,IL,60827,(312) 747-3270,https://www.chipublib.org/locations/4/,"(41.65473021837776, -87.6022302609835)"
Archer Heights,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes ,5055 S. Archer Avenue,CHICAGO,IL,60632,(312) 747-9241,https://www.chipublib.org/locations/5/,"(41.8012136599335, -87.72649071431441)"
Austin,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,5615 W. Race Avenue,CHICAGO,IL,60644,(312) 746-5038,https://www.chipublib.org/locations/6/,"(41.889272153514526, -87.76571186722818)"
Austin-Irving,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes ,6100 W. Irving Park Road,CHICAGO,IL,60634,(312) 744-6222,https://www.chipublib.org/locations/7/,"(41.95317390064158, -87.77938682073541)"
Avalon,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,8148 S. Stony Island Avenue ,CHICAGO,IL,60617,(312) 747-5234,https://www.chipublib.org/locations/8/,"(41.74671722160199, -87.58539658719002)"
Back of the Yards,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,Yes ,2111 W. 47th Street,CHICAGO,IL,60609,(312) 747-9595,https://www.chipublib.org/locations/9/,"(41.808384423666354, -87.67756963874196)"
Beverly,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes ,1962 W. 95th Street,CHICAGO,IL,60643,(312) 747-9673,https://www.chipublib.org/locations/10/,"(41.721180505456495, -87.6719464613888)"
Bezazian,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes ,1226 W. Ainslie Street,CHICAGO,IL,60640,(312) 744-0019,https://www.chipublib.org/locations/11/,"(41.97168194800458, -87.66073027218957)"
Blackstone,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,4904 S. Lake Park Avenue,CHICAGO,IL,60615,(312) 747-0511,https://www.chipublib.org/locations/12/,"(41.8058403098503, -87.58934182212592)"
Brainerd,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,1350 W. 89th Street,CHICAGO,IL,60620,(312) 747-6291,https://www.chipublib.org/locations/13/,"(41.732316757097045, -87.65723451581835)"
Brighton Park,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,4314 S. Archer Avenue,CHICAGO,IL,60632,(312) 747-0666,https://www.chipublib.org/locations/14/,"(41.815138789328266, -87.70265431614907)"
Bucktown-Wicker Park,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes ,1701 N. Milwaukee Avenue,CHICAGO,IL,60647,(312) 744-6022,https://www.chipublib.org/locations/15/,"(41.91272239576367, -87.6805873025965)"
Budlong Woods,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes ,5630 N. Lincoln Avenue,CHICAGO,IL,60659,(312) 742-9590,https://www.chipublib.org/locations/16/,"(41.98457226437275, -87.69773449236712)"
Canaryville,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,642 W. 43rd Street,CHICAGO,IL,60609,(312) 747-0644,https://www.chipublib.org/locations/17/,"(41.815505684396335, -87.64250101465565)"
Chicago Bee,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,3647 S. State Street,CHICAGO,IL,60609,(312) 747-6872,https://www.chipublib.org/locations/18/,"(41.8284268698988, -87.62640221644719)"
Chicago Lawn,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,6120 S. Kedzie Avenue ,CHICAGO,IL,60629,(312) 747-0639,https://www.chipublib.org/locations/19/,"(41.78180787787282, -87.70326162211758)"
Chinatown,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,2100 S. Wentworth Avenue,CHICAGO,IL,60616,(312) 747-8013,https://www.chipublib.org/locations/20/,"(41.85412074173438, -87.63195792246246)"
Clearing,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes ,6423 W. 63rd Place,CHICAGO,IL,60638,(312) 747-5657,https://www.chipublib.org/locations/21/,"(41.77678205621646, -87.78181978755116)"
Coleman,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,731 E. 63rd Street,CHICAGO,IL,60637,(312) 747-7760,https://www.chipublib.org/locations/22/,"(41.78037301095412, -87.60715724280014)"
"Daley, Richard J.-Bridgeport","M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,3400 S. Halsted Street,CHICAGO,IL,60608,(312) 747-8990,https://www.chipublib.org/locations/23/,"(41.83228703346308, -87.64648501124545)"
"Daley, Richard M.-W Humboldt","M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,733 N. Kedzie Avenue,CHICAGO,IL,60612,(312) 743-0555,https://www.chipublib.org/locations/24/,"(41.8943707, -87.7064607)"
Douglass,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,3353 W. 13th Street,CHICAGO,IL,60623,(312) 747-3725,https://www.chipublib.org/locations/25/,"(41.864500759742604, -87.70968548933996)"
Dunning,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes ,7455 W. Cornelia Avenue,CHICAGO,IL,60634,(312) 743-0480,https://www.chipublib.org/locations/26/,"(41.943308, -87.817497)"
Edgebrook,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes ,5331 W. Devon Avenue,CHICAGO,IL,60646,(312) 744-8313,https://www.chipublib.org/locations/27/,"(41.9969708834685, -87.7620478920105)"
Edgewater,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes ,Yes ,6000 N. Broadway Street,CHICAGO,IL,60660,(312) 744-0718,https://www.chipublib.org/locations/28/,"(41.990996, -87.660757)"
Gage Park,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,Yes ,2807 W. 55th Street,CHICAGO,IL,60632,(312) 747-0032,https://www.chipublib.org/locations/29/,"(41.79369723271382, -87.69404645462895)"
Galewood-Mont Clare,"M-TH: 10AM-6PM; F: 9AM-5PM; SA, SU: Closed",No,Yes ,6871 W. Belden Avenue,CHICAGO,IL,60707,(312) 746-0165,https://www.chipublib.org/locations/30/,"(41.921114724943386, -87.79724102070298)"
Garfield Ridge,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,Yes ,6348 S. Archer Avenue,CHICAGO,IL,60638,(312) 747-6094,https://www.chipublib.org/locations/31/,"(41.79298666078267, -87.78013325801972)"
Greater Grand Crossing,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,1000 East 73rd Street,CHICAGO,IL,60619,(312) 745-1608,https://www.chipublib.org/locations/32/,"(41.7623, -87.6005)"
Hall,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,4801 S. Michigan Avenue,CHICAGO,IL,60615,(312) 747-2541,https://www.chipublib.org/locations/33/,"(41.80743298280974, -87.62273981936815)"
Harold Washington-HWLC,"M-TH: 9AM-9PM; F, SA: 9AM-5PM; SU: 1PM-5PM",Yes,Yes ,400 S. State Street,CHICAGO,IL,60605,(312) 747-4300,https://www.chipublib.org/locations/34/,"(41.87629985357702, -87.62819280116949)"
Hegewisch,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,Yes ,3048 E. 130th Street,CHICAGO,IL,60633,(312) 747-0046,https://www.chipublib.org/locations/35/,"(41.65917887033542, -87.54824132727411)"
Humboldt Park,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,1605 N. Troy Street,CHICAGO,IL,60647,(312) 744-2244,https://www.chipublib.org/locations/36/,"(41.910328, -87.705427)"
Independence,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,Yes ,3548 W. Irving Park Road,CHICAGO,IL,60618,(312) 744-0900,https://www.chipublib.org/locations/37/,"(41.953903720729926, -87.71694255042644)"
Jefferson Park,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,Yes ,5363 W. Lawrence Avenue,CHICAGO,IL,60630,(312) 744-1998,https://www.chipublib.org/locations/38/,"(41.96759739182978, -87.76155426232721)"
Jeffery Manor,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,2401 E. 100th Street,CHICAGO,IL,60617,(312) 747-6479,https://www.chipublib.org/locations/39/,"(41.71326176288522, -87.56549206928669)"
Kelly,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,6151 S. Normal Boulevard,CHICAGO,IL,60621,(312) 747-8418,https://www.chipublib.org/locations/40/,"(41.78217163315653, -87.63740786532117)"
King,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes ,Yes ,3436 S. King Drive,CHICAGO,IL,60616,(312) 747-7543,https://www.chipublib.org/locations/41/,"(41.83180139956726, -87.6177606656296)"
Legler,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,115 S. Pulaski Road,CHICAGO,IL,60624,(312) 746-7730,https://www.chipublib.org/locations/42/,"(41.87933865849079, -87.72556034620074)"
Lincoln Belmont,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,1659 W. Melrose Street,CHICAGO,IL,60657,(312) 744-0166,https://www.chipublib.org/locations/43/,"(41.94031359562259, -87.67075771281625)"
Lincoln Park,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,Yes ,1150 W. Fullerton Avenue,CHICAGO,IL,60614,(312) 744-1926,https://www.chipublib.org/locations/44/,"(41.925591694002954, -87.6581132450843)"
Little Village,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,2311 S. Kedzie Avenue,CHICAGO,IL,60623,(312) 745-1862,https://www.chipublib.org/locations/45/,"(41.8495331, -87.7051215)"
Logan Square,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,3030 W. Fullerton Avenue,CHICAGO,IL,60647,(312) 744-5295,https://www.chipublib.org/locations/46/,"(41.92505210078537, -87.70339410925955)"
Lozano,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,1805 S. Loomis Street,CHICAGO,IL,60608,(312) 746-4329,https://www.chipublib.org/locations/47/,"(41.85752200960524, -87.6609371162563)"
Manning,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,6 S. Hoyne Avenue,CHICAGO,IL,60612,(312) 746-6800,https://www.chipublib.org/locations/48/,"(41.88118570415187, -87.67914211111776)"
Mayfair,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes ,4400 W. Lawrence Avenue,CHICAGO,IL,60630,(312) 744-1254,https://www.chipublib.org/locations/49/,"(41.968354456496165, -87.7381618989123)"
McKinley Park,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes ,1915 W. 35th Street,CHICAGO,IL,60609,(312) 747-6082,https://www.chipublib.org/locations/50/,"(41.830447500170855, -87.67339165430255)"
Merlo,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes ,644 W. Belmont Avenue,CHICAGO,IL,60657,(312) 744-1139,https://www.chipublib.org/locations/51/,"(41.940084208613214, -87.64614322696454)"
Mount Greenwood,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,Yes ,11010 S. Kedzie Avenue,CHICAGO,IL,60655,(312) 747-2805,https://www.chipublib.org/locations/52/,"(41.69291909858246, -87.70103788554279)"
Near North,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,310 W. Division Street,CHICAGO,IL,60610,(312) 744-0991,https://www.chipublib.org/locations/53/,"(41.90386938756309, -87.63648979790898)"
North Austin,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,5724 W. North Avenue,CHICAGO,IL,60639,(312) 746-4233,https://www.chipublib.org/locations/54/,"(41.90942919798428, -87.76879898888265)"
North Pulaski,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,Yes ,4300 W. North Avenue,CHICAGO,IL,60639,(312) 744-9573,https://www.chipublib.org/locations/55/,"(41.91004241611636, -87.73392609215429)"
Northtown,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,Yes ,6435 N. California Avenue,CHICAGO,IL,60645,(312) 744-2292,https://www.chipublib.org/locations/56/,"(41.99833902904292, -87.6996500514452)"
Oriole Park,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,7454 W. Balmoral Avenue,CHICAGO,IL,60656,(312) 744-1965,https://www.chipublib.org/locations/57/,"(41.977961140156296, -87.8132091093451)"
Portage-Cragin,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,5108 W. Belmont Avenue,CHICAGO,IL,60641,(312) 744-0152,https://www.chipublib.org/locations/58/,"(41.93877675039972, -87.75449293765163)"
Pullman,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,11001 S. Indiana Avenue,CHICAGO,IL,60628,(312) 747-2033,https://www.chipublib.org/locations/59/,"(41.69440640901795, -87.61826066226358)"
Roden,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,Yes ,6083 N. Northwest Highway,CHICAGO,IL,60631,(312) 744-1478,https://www.chipublib.org/locations/60/,"(41.99191752494232, -87.79830189864583)"
Rogers Park,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,6907 N. Clark Street,CHICAGO,IL,60626,(312) 744-0156,https://www.chipublib.org/locations/61/,"(42.00670763656976, -87.67340767268539)"
Roosevelt,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,1101 W. Taylor Street,CHICAGO,IL,60607,(312) 746-5656,https://www.chipublib.org/locations/62/,"(41.86927614852819, -87.65447998408592)"
Scottsdale,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,Yes ,4101 W. 79th Street,CHICAGO,IL,60652,(312) 747-0193,https://www.chipublib.org/locations/63/,"(41.749361683410754, -87.72439557570442)"
Sherman Park,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,5440 S. Racine Avenue,CHICAGO,IL,60609,(312) 747-0477,https://www.chipublib.org/locations/64/,"(41.795279421214886, -87.65492071930115)"
South Chicago,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,9055 S. Houston Avenue,CHICAGO,IL,60617,(312) 747-8065,https://www.chipublib.org/locations/65/,"(41.73057483460938, -87.54980694003919)"
South Shore,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,2505 E. 73rd Street,CHICAGO,IL,60649,(312) 747-5281,https://www.chipublib.org/locations/66/,"(41.76155535585864, -87.56208363879564)"
Sulzer Regional,"M-TH: 9AM-9PM; F, SA: 9AM-5PM; SU: 1PM-5PM",Yes,Yes ,4455 N. Lincoln Avenue,CHICAGO,IL,60625,(312) 744-7616,https://www.chipublib.org/locations/67/,"(41.96240358108169, -87.68441684946531)"
Thurgood Marshall,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,7506 S. Racine Avenue,CHICAGO,IL,60620,(312) 747-5927,https://www.chipublib.org/locations/68/,"(41.757801751628755, -87.65398155309862)"
Toman,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,2708 S. Pulaski Road,CHICAGO,IL,60623,(312) 745-1660,https://www.chipublib.org/locations/69/,"(41.84205367070128, -87.72496884474246)"
Uptown,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,929 W. Buena Avenue,CHICAGO,IL,60613,(312) 744-8400,https://www.chipublib.org/locations/70/,"(41.958445207514295, -87.65351012268938)"
Vodak-East Side,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,3710 E. 106th Street,CHICAGO,IL,60617,(312) 747-5500,https://www.chipublib.org/locations/71/,"(41.70302747819179, -87.53350318470449)"
Walker,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,Yes ,11071 S. Hoyne Avenue,CHICAGO,IL,60643,(312) 747-1920,https://www.chipublib.org/locations/72/,"(41.69244169242589, -87.67413286555718)"
Water Works,"M-TH: 9AM-7PM; F, SA: 9AM-5PM; SU: 1PM-5PM",No,Yes ,163 E. Pearson Street,CHICAGO,IL,60611,(312) 742-8811,https://www.chipublib.org/locations/73/,"(41.89758435399726, -87.62314877110073)"
West Belmont,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,3104 N. Narragansett Avenue,CHICAGO,IL,60634,(312) 746-5142,https://www.chipublib.org/locations/74/,"(41.93666211869315, -87.78589145006396)"
West Chicago Avenue,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,4856 W. Chicago Avenue,CHICAGO,IL,60651,(312) 743-0260,https://www.chipublib.org/locations/75/,"(41.895046508790834, -87.74732954000841)"
West Englewood,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes ,1745 W. 63rd Street,CHICAGO,IL,60636,(312) 747-3481,https://www.chipublib.org/locations/76/,"(41.779334358813195, -87.66812159090755)"
West Lawn,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes ,4020 W. 63rd Street,CHICAGO,IL,60629,(312) 747-7381,https://www.chipublib.org/locations/77/,"(41.778662219559784, -87.7235385705056)"
West Pullman,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes ,830 W. 119th Street,CHICAGO,IL,60643,(312) 747-1425,https://www.chipublib.org/locations/78/,"(41.67785087178982, -87.64299968326193)"
West Town,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,Yes ,1625 W. Chicago Avenue,CHICAGO,IL,60622,(312) 743-0450,https://www.chipublib.org/locations/79/,"(41.895752189070784, -87.6682665907951)"
"Whitney M. Young, Jr.","M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes ,Yes ,7901 S. King Drive,CHICAGO,IL,60619,(312) 747-0039,https://www.chipublib.org/locations/80/,"(41.75106360973631, -87.61495065361933)"
Woodson Regional,"M-TH: 9AM-9PM; F, SA: 9AM-5PM; SU: 1PM-5PM",Yes,Yes ,9525 S. Halsted Street,CHICAGO,IL,60628,(312) 747-6900,https://www.chipublib.org/locations/81/,"(41.72093481286736, -87.64309395216542)"
Wrightwood-Ashburn,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes ,8530 S. Kedzie Avenue,CHICAGO,IL,60652,(312) 747-2696,https://www.chipublib.org/locations/82/,"(41.73832399791064, -87.70213010561923)"
